MicrorregiõesIBGE;Pop_2020;Infeccaocovid;mortalidadecovid;PIBpercapita;Rendamediapercapita;Taxa_Analfabetismo;Instalacoessanitarias;taxa_insta_san;Abastecimentodeagua;taxaabste_agua;Coletadelixo;taxacoleta_lixo;ESF2020_Dez;CoberturaESF;Medicos_total;taxamedicos;Enfermeiros;taxa_enfer;Fisioterapeutas;taxa_fisio;ACS;taxa_acs;Leitosdeinternacao;taxa_leitos_interpormil;LeitosUTI;taxa_UTI;EquipamentosRaioX;taxaEquip_raioxpormil;EquipamentosTomografoComputadorizado;taxaEquip_tomografopormil;Resp_VentEquipamentos_Existentes;taxaventiladorespormil;taxainf;taxamortal
50010 Dourados;590463,00;26451,00;344,00;28013,19;713,05;1,25;78325,00;132,65;117901,00;0,20;124140,00;0,21;146,00;0,74;1012,00;1,71;977,00;1,65;231,00;0,39;931,00;1,58;1167,00;1,98;85,00;0,14;85,00;0,14;22,00;0,04;194,00;0,33;44,80;0,58
50011 Iguatemi;250361,00;6802,00;112,00;20190,34;536,99;2,29;12470,00;49,81;52924,00;0,21;50141,00;0,20;69,00;0,83;189,00;0,75;261,00;1,04;58,00;0,23;473,00;1,89;411,00;1,64;30,00;0,12;30,00;0,12;2,00;0,01;29,00;0,12;27,17;0,45
51001 Aripuanã;173185,00;3545,00;79,00;15962,08;534,09;2,12;1048,00;6,05;14692,00;0,08;22915,00;0,13;39,00;0,68;108,00;0,62;168,00;0,97;21,00;0,12;271,00;1,56;277,00;1,60;20,00;0,12;20,00;0,12;4,00;0,02;43,00;0,25;20,47;0,46
51002 Alta Floresta;108621,00;3203,00;53,00;21979,88;583,39;1,55;7107,00;65,43;14055,00;0,13;20177,00;0,19;33,00;0,91;120,00;1,10;166,00;1,53;36,00;0,33;199,00;1,83;270,00;2,49;14,00;0,13;14,00;0,13;5,00;0,05;40,00;0,37;29,49;0,49
51003 Colíder;158042,00;6605,00;148,00;16437,47;606,60;2,37;6227,00;39,40;25469,00;0,16;28450,00;0,18;44,00;0,84;166,00;1,05;174,00;1,10;41,00;0,26;355,00;2,25;300,00;1,90;19,00;0,12;19,00;0,12;3,00;0,02;54,00;0,34;41,79;0,94
51004 Parecis;113097,00;6941,00;83,00;63165,79;747,53;1,66;3563,00;31,50;21636,00;0,19;21353,00;0,19;35,00;0,93;110,00;0,97;105,00;0,93;27,00;0,24;164,00;1,45;185,00;1,64;13,00;0,11;13,00;0,11;3,00;0,03;29,00;0,26;61,37;0,73
51005 Arinos;83819,00;2500,00;27,00;24400,54;581,90;1,29;3790,00;45,22;15770,00;0,19;16502,00;0,20;27,00;0,97;58,00;0,69;90,00;1,07;18,00;0,21;162,00;1,93;144,00;1,72;16,00;0,19;16,00;0,19;1,00;0,01;8,00;0,10;29,83;0,32
51006 A.Teles Pires;267192,00;21964,00;275,00;50199,26;853,40;1,25;11053,00;41,37;47407,00;0,18;47493,00;0,18;74,00;0,83;381,00;1,43;419,00;1,57;144,00;0,54;412,00;1,54;467,00;1,75;34,00;0,13;34,00;0,13;16,00;0,06;87,00;0,33;82,20;1,03
51007 Sinop;209970,00;12508,00;191,00;27672,67;770,50;1,26;2951,00;14,05;35915,00;0,17;44409,00;0,21;54,00;0,77;415,00;1,98;381,00;1,81;108,00;0,51;245,00;1,17;332,00;1,58;36,00;0,17;36,00;0,17;11,00;0,05;63,00;0,30;59,57;0,91
51008 Paranatinga;37037,00;2321,00;52,00;29156,04;487,59;7,28;2076,00;56,05;7018,00;0,19;5912,00;0,16;10,00;0,81;21,00;0,57;47,00;1,27;10,00;0,27;80,00;2,16;65,00;1,76;6,00;0,16;6,00;0,16;0,00;0,00;2,00;0,05;62,67;1,40
51009 Norte Araguaia;134387,00;3347,00;81,00;16175,19;483,79;1,97;416,00;3,10;11987,00;0,09;18192,00;0,14;42,00;0,94;72,00;0,54;140,00;1,04;30,00;0,22;352,00;2,62;215,00;1,60;17,00;0,13;17,00;0,13;1,00;0,01;16,00;0,12;24,91;0,60
51010 Canarana;117828,00;4842,00;106,00;32125,63;588,17;6,06;3422,00;29,04;19108,00;0,16;20315,00;0,17;37,00;0,94;112,00;0,95;143,00;1,21;42,00;0,36;262,00;2,22;228,00;1,94;18,00;0,15;18,00;0,15;7,00;0,06;29,00;0,25;41,09;0,90
51011 Médio Araguaia;70147,00;3540,00;132,00;20638,61;705,14;2,56;23246,00;331,39;17350,00;0,25;17696,00;0,25;23,00;0,98;156,00;2,22;165,00;2,35;44,00;0,63;111,00;1,58;136,00;1,94;14,00;0,20;14,00;0,20;7,00;0,10;19,00;0,27;50,47;1,88
51012 Alto Guaporé;76023,00;3318,00;92,00;19298,64;565,85;1,19;13757,00;180,96;10777,00;0,14;13191,00;0,17;25,00;0,99;62,00;0,82;128,00;1,68;22,00;0,29;179,00;2,35;126,00;1,66;9,00;0,12;9,00;0,12;2,00;0,03;16,00;0,21;43,64;1,21
51013 Tangará Serra;173995,00;9734,00;151,00;24987,96;704,45;1,95;16574,00;95,26;37001,00;0,21;38074,00;0,22;41,00;0,71;217,00;1,25;202,00;1,16;56,00;0,32;170,00;0,98;243,00;1,40;23,00;0,13;23,00;0,13;1,00;0,01;99,00;0,57;55,94;0,87
51014 Jauru;111026,00;4184,00;121,00;18200,07;588,84;1,49;10233,00;92,17;21929,00;0,20;23691,00;0,21;36,00;0,97;73,00;0,66;93,00;0,84;21,00;0,19;246,00;2,22;225,00;2,03;13,00;0,12;13,00;0,12;1,00;0,01;6,00;0,05;37,68;1,09
51015 Alto Paraguai;33359,00;1394,00;33,00;13951,51;455,73;0,96;1959,00;58,72;6962,00;0,21;5742,00;0,17;12,00;1,08;22,00;0,66;45,00;1,35;7,00;0,21;77,00;2,31;49,00;1,47;6,00;0,18;6,00;0,18;0,00;0,00;2,00;0,06;41,79;0,99
51016 Rosário Oeste;30893,00;934,00;34,00;14083,78;378,46;1,79;970,00;31,40;5086,00;0,16;4241,00;0,14;11,00;1,07;11,00;0,36;31,00;1,00;5,00;0,16;99,00;3,20;63,00;2,04;2,00;0,06;2,00;0,06;0,00;0,00;2,00;0,06;30,23;1,10
51017 Cuiabá;955663,00;54782,00;1793,00;26950,07;940,58;1,51;360770,00;377,51;224512,00;0,23;224292,00;0,23;149,00;0,47;2606,00;2,73;1999,00;2,09;594,00;0,62;830,00;0,87;2225,00;2,33;156,00;0,16;156,00;0,16;50,00;0,05;896,00;0,94;57,32;1,88
51018 Alto Pantanal;141587,00;5264,00;175,00;12543,45;510,83;2,31;13731,00;96,98;26091,00;0,18;27058,00;0,19;27,00;0,57;195,00;1,38;184,00;1,30;37,00;0,26;136,00;0,96;323,00;2,28;17,00;0,12;17,00;0,12;4,00;0,03;104,00;0,73;37,18;1,24
51019 Primavera Leste;108175,00;8628,00;164,00;46359,59;899,99;1,17;9941,00;91,90;18657,00;0,17;22381,00;0,21;31,00;0,86;176,00;1,63;163,00;1,51;59,00;0,55;201,00;1,86;247,00;2,28;18,00;0,17;18,00;0,17;4,00;0,04;61,00;0,56;79,76;1,52
51020 Tesouro;55959,00;1835,00;53,00;20709,65;486,32;1,04;10550,00;188,53;13199,00;0,24;12274,00;0,22;21,00;1,13;35,00;0,63;62,00;1,11;16,00;0,29;125,00;2,23;208,00;3,72;8,00;0,14;8,00;0,14;0,00;0,00;13,00;0,23;32,79;0,95
51021 Rondonópolis;323515,00;16824,00;583,00;33132,04;750,35;0,91;61571,00;190,32;78753,00;0,24;77210,00;0,24;72,00;0,67;517,00;1,60;437,00;1,35;106,00;0,33;593,00;1,83;755,00;2,33;34,00;0,11;34,00;0,11;7,00;0,02;149,00;0,46;52,00;1,80
51022 Alto Araguaia;42700,00;1288,00;30,00;53859,89;681,61;1,30;1047,00;24,52;9431,00;0,22;9440,00;0,22;12,00;0,84;37,00;0,87;45,00;1,05;9,00;0,21;70,00;1,64;128,00;3,00;7,00;0,16;7,00;0,16;0,00;0,00;9,00;0,21;30,16;0,70
52001 S.Miguel Arag.;79876,00;3043,00;49,00;20336,11;510,36;1,89;4873,00;61,01;14870,00;0,19;16503,00;0,21;28,00;1,05;53,00;0,66;61,00;0,76;25,00;0,31;179,00;2,24;264,00;3,31;12,00;0,15;12,00;0,15;1,00;0,01;2,00;0,03;38,10;0,61
52002 Rio Vermelho;85562,00;2520,00;49,00;16718,39;664,66;1,06;22052,00;257,73;20927,00;0,24;20850,00;0,24;33,00;1,16;62,00;0,72;101,00;1,18;35,00;0,41;201,00;2,35;222,00;2,59;13,00;0,15;13,00;0,15;1,00;0,01;11,00;0,13;29,45;0,57
52003 Aragarças;57756,00;1813,00;40,00;16458,20;566,05;0,62;832,00;14,41;13924,00;0,24;13496,00;0,23;22,00;1,14;55,00;0,95;69,00;1,19;17,00;0,29;135,00;2,34;145,00;2,51;7,00;0,12;7,00;0,12;0,00;0,00;4,00;0,07;31,39;0,69
52004 Porangatu;238511,00;6139,00;161,00;20370,43;588,04;1,24;40778,00;170,97;54258,00;0,23;54711,00;0,23;76,00;0,96;198,00;0,83;235,00;0,99;72,00;0,30;540,00;2,26;681,00;2,86;46,00;0,19;46,00;0,19;7,00;0,03;27,00;0,11;25,74;0,68
52005 Chap.Veadeiros;70283,00;1500,00;21,00;14696,34;435,69;2,86;8533,00;121,41;12771,00;0,18;12029,00;0,17;29,00;1,24;55,00;0,78;62,00;0,88;16,00;0,23;167,00;2,38;147,00;2,09;13,00;0,18;13,00;0,18;1,00;0,01;10,00;0,14;21,34;0,30
52006 Ceres;253005,00;11107,00;243,00;15624,90;615,22;0,77;54504,00;215,43;56468,00;0,22;61403,00;0,24;86,00;1,02;375,00;1,48;376,00;1,49;89,00;0,35;515,00;2,04;1122,00;4,43;68,00;0,27;68,00;0,27;14,00;0,06;80,00;0,32;43,90;0,96
52007 Anápolis;624349,00;25097,00;633,00;26557,61;702,99;0,86;171697,00;275,00;138278,00;0,22;153144,00;0,25;155,00;0,74;1166,00;1,87;714,00;1,14;210,00;0,34;914,00;1,46;1484,00;2,38;106,00;0,17;106,00;0,17;26,00;0,04;191,00;0,31;40,20;1,01
52008 Iporá;56077,00;2014,00;41,00;13585,73;640,77;1,23;4336,00;77,32;16574,00;0,30;16288,00;0,29;19,00;1,02;59,00;1,05;69,00;1,23;24,00;0,43;164,00;2,92;201,00;3,58;17,00;0,30;17,00;0,30;1,00;0,02;19,00;0,34;35,91;0,73
52009 Anicuns;118506,00;4424,00;95,00;15081,58;600,91;0,65;20717,00;174,82;31405,00;0,27;30749,00;0,26;44,00;1,11;104,00;0,88;130,00;1,10;52,00;0,44;277,00;2,34;262,00;2,21;22,00;0,19;22,00;0,19;4,00;0,03;23,00;0,19;37,33;0,80
52010 Goiânia;2583753,00;138893,00;3138,00;25120,69;1040,53;1,24;1011977,00;391,67;554426,00;0,21;619656,00;0,24;450,00;0,52;7555,00;2,92;3579,00;1,39;1111,00;0,43;1910,00;0,74;8978,00;3,47;400,00;0,15;400,00;0,15;114,00;0,04;1401,00;0,54;53,76;1,21
52011 Vão do Paranã;124483,00;1904,00;24,00;9590,70;383,83;2,49;13173,00;105,82;21494,00;0,17;18624,00;0,15;40,00;0,96;82,00;0,66;128,00;1,03;22,00;0,18;263,00;2,11;219,00;1,76;19,00;0,15;19,00;0,15;2,00;0,02;11,00;0,09;15,30;0,19
52012 Ent.Brasília;1310551,00;39555,00;864,00;12787,06;546,62;1,69;183575,00;140,07;230169,00;0,18;246948,00;0,19;260,00;0,60;1233,00;0,94;1042,00;0,80;181,00;0,14;1513,00;1,15;1065,00;0,81;77,00;0,06;77,00;0,06;17,00;0,01;176,00;0,13;30,18;0,66
52013 SO de Goiás;558560,00;33173,00;696,00;34687,57;831,19;1,04;199780,00;357,67;116188,00;0,21;124265,00;0,22;103,00;0,55;742,00;1,33;687,00;1,23;221,00;0,40;451,00;0,81;1333,00;2,39;86,00;0,15;86,00;0,15;19,00;0,03;186,00;0,33;59,39;1,25
52014 Vale Rio Bois;127367,00;7339,00;121,00;29707,31;623,92;1,24;23973,00;188,22;26163,00;0,21;27932,00;0,22;49,00;1,15;109,00;0,86;146,00;1,15;48,00;0,38;251,00;1,97;277,00;2,17;26,00;0,20;26,00;0,20;1,00;0,01;18,00;0,14;57,62;0,95
52015 Meia Ponte;414086,00;17801,00;345,00;29552,33;723,72;0,99;147447,00;356,08;95874,00;0,23;105058,00;0,25;103,00;0,75;556,00;1,34;444,00;1,07;169,00;0,41;641,00;1,55;888,00;2,14;76,00;0,18;76,00;0,18;17,00;0,04;125,00;0,30;42,99;0,83
52016 Pires do Rio;101396,00;2950,00;65,00;22192,35;671,93;0,71;12406,00;122,35;21855,00;0,22;22548,00;0,22;34,00;1,01;63,00;0,62;88,00;0,87;32,00;0,32;235,00;2,32;190,00;1,87;13,00;0,13;13,00;0,13;0,00;0,00;7,00;0,07;29,09;0,64
52017 Catalão;179314,00;5506,00;130,00;52986,44;824,18;1,35;56032,00;312,48;42235,00;0,24;42357,00;0,24;34,00;0,57;324,00;1,81;220,00;1,23;95,00;0,53;187,00;1,04;517,00;2,88;32,00;0,18;32,00;0,18;8,00;0,04;56,00;0,31;30,71;0,72
52018 Quirinópolis;130105,00;4332,00;90,00;33610,12;785,96;0,72;78031,00;599,75;28053,00;0,22;30871,00;0,24;39,00;0,90;100,00;0,77;133,00;1,02;52,00;0,40;225,00;1,73;310,00;2,38;24,00;0,18;24,00;0,18;4,00;0,03;20,00;0,15;33,30;0,69
53001 Brasília;3055149,00;220482,00;3904,00;62859,43;1665,42;1,04;2005008,00;656,27;736148,00;0,24;640869,00;0,21;599,00;0,59;11085,00;3,63;6673,00;2,18;2131,00;0,70;989,00;0,32;7739,00;2,53;313,00;0,10;313,00;0,10;188,00;0,06;2445,00;0,80;72,17;1,28
