MicrorregiõesIBGE;Pop_2020;Infeccaocovid;mortalidadecovid;PIBpercapita;Rendamediapercapita;Taxa_Analfabetismo;Instalacoessanitarias;taxa_insta_san;Abastecimentodeagua;taxaabste_agua;Coletadelixo;taxacoleta_lixo;ESF2020_Dez;CoberturaESF;Medicos_total;taxamedicos;Enfermeiros;taxa_enfer;Fisioterapeutas;taxa_fisio;ACS;taxa_acs;Leitosdeinternacao;taxa_leitos_interpormil;LeitosUTI;taxa_UTI;EquipamentosRaioX;taxaEquip_raioxpormil;EquipamentosTomografoComputadorizado;taxaEquip_tomografopormil;Resp_VentEquipamentos_Existentes;taxaventiladorespormil;taxainf;taxamortal
42011 Rio do Sul;230580,00;11517,00;116,00;25112,21;895,79;0,60;16799,00;72,86;42591,00;0,18;53545,00;0,23;80,00;1,04;357,00;1,55;326,00;1,41;71,00;0,31;403,00;1,75;633,00;2,75;27,00;0,12;29,00;0,13;5,00;0,02;70,00;0,30;49,95;0,50
42012 Blumenau;821159,00;59436,00;559,00;36199,10;1094,57;0,79;168879,00;205,66;184691,00;0,22;209090,00;0,25;196,00;0,72;1989,00;2,42;1239,00;1,51;268,00;0,33;817,00;0,99;1376,00;1,68;27,00;0,03;75,00;0,09;17,00;0,02;310,00;0,38;72,38;0,68
42013 Itajaí;752278,00;57681,00;763,00;43407,82;1022,39;0,89;204720,00;272,13;167205,00;0,22;179462,00;0,24;174,00;0,69;1825,00;2,43;1011,00;1,34;362,00;0,48;872,00;1,16;1029,00;1,37;196,00;0,26;98,00;0,13;20,00;0,03;145,00;0,19;76,68;1,01
42014 Ituporanga;61044,00;2336,00;28,00;25295,23;758,89;0,66;4017,00;65,80;8403,00;0,14;10851,00;0,18;24,00;1,18;74,00;1,21;88,00;1,44;23,00;0,38;125,00;2,05;139,00;2,28;41,00;0,67;7,00;0,11;1,00;0,02;12,00;0,20;38,27;0,46
42015 Tijucas;116115,00;8789,00;95,00;24391,36;763,39;0,97;26828,00;231,05;21845,00;0,19;24020,00;0,21;42,00;1,09;117,00;1,01;113,00;0,97;33,00;0,28;211,00;1,82;240,00;2,07;34,00;0,29;13,00;0,11;6,00;0,05;24,00;0,21;75,69;0,82
42016 Florianópolis;1064067,00;90087,00;749,00;30933,74;1351,32;0,83;355106,00;333,73;271315,00;0,25;279303,00;0,26;302,00;0,85;4055,00;3,81;2054,00;1,93;688,00;0,65;1036,00;0,97;2744,00;2,58;27,00;0,03;155,00;0,15;41,00;0,04;647,00;0,61;84,66;0,70
42017 Tabuleiro;25574,00;1471,00;9,00;20323,99;665,54;0,65;1155,00;45,16;2185,00;0,09;4518,00;0,18;8,00;0,94;21,00;0,82;21,00;0,82;9,00;0,35;60,00;2,35;96,00;3,75;36,00;1,41;5,00;0,20;0,00;0,00;1,00;0,04;57,52;0,35
42018 Tubarão;418365,00;38246,00;429,00;24346,07;836,86;1,20;103017,00;246,24;90326,00;0,22;108054,00;0,26;140,00;1,00;726,00;1,74;557,00;1,33;179,00;0,43;837,00;2,00;935,00;2,23;14,00;0,03;69,00;0,16;19,00;0,05;161,00;0,38;91,42;1,03
42019 Criciúma;419540,00;35135,00;404,00;27527,01;924,40;0,80;179354,00;427,50;103490,00;0,25;109579,00;0,26;119,00;0,85;1015,00;2,42;666,00;1,59;224,00;0,53;627,00;1,49;959,00;2,29;6,00;0,01;47,00;0,11;8,00;0,02;196,00;0,47;83,75;0,96
42020 Araranguá;204380,00;15231,00;208,00;19308,49;750,08;0,73;28772,00;140,78;29857,00;0,15;50112,00;0,25;59,00;0,87;355,00;1,74;247,00;1,21;92,00;0,45;315,00;1,54;456,00;2,23;100,00;0,49;20,00;0,10;6,00;0,03;30,00;0,15;74,52;1,02
